Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
,Total,Crimes contra as pessoas,Crimes de homicídio voluntário consumado,Crimes contra o património,Crimes contra a identidade cultural e integridade pessoal,Crimes contra a vida em sociedade,Crimes contra o Estado,Crimes contra animais de companhia,Crimes previstos em legislação avulsa
11C: Tâmega e Sousa,12069.00,3271.00,x x,6079.00,x x,1638.00,188.00,- -,893.00
11C1301: Amarante,1635.00,495.00,x x,816.00,x x,198.00,24.00,- -,102.00
11C1302: Baião,587.00,183.00,x x,231.00,x x,119.00,6.00,- -,48.00
11C0106: Castelo de Paiva,503.00,133.00,x x,166.00,x x,145.00,21.00,- -,38.00
11C0305: Celorico de Basto,437.00,72.00,x x,187.00,x x,126.00,5.00,- -,47.00
11C1804: Cinf�es,510.00,172.00,x x,229.00,x x,67.00,4.00,- -,38.00
11C1303: Felgueiras,2063.00,483.00,x x,1177.00,x x,200.00,32.00,- -,171.00
11C1305: Lousada,1274.00,320.00,x x,738.00,x x,114.00,11.00,- -,91.00
11C1307: Marco de Canaveses,1370.00,379.00,x x,710.00,x x,175.00,20.00,- -,86.00
11C1309: Paços de Ferreira,1633.00,418.00,x x,752.00,x x,263.00,33.00,- -,167.00
11C1311: Penafiel,1773.00,493.00,x x,976.00,x x,186.00,29.00,- -,89.00
11C1813: Resende,284.00,123.00,x x,97.00,x x,45.00,3.00,- -,16.00
11D: Douro,5726.00,1833.00,x x,2434.00,x x,1097.00,95.00,- -,267.00
11D1701: Alij�,444.00,145.00,x x,165.00,x x,105.00,16.00,- -,13.00
11D1801: Armamar,60.00,14.00,x x,21.00,x x,19.00,? ?,- -,? ?
11D0403: Carrazeda de Ansiões,298.00,71.00,x x,122.00,x x,76.00,6.00,- -,23.00
11D0404: Freixo de Espada � Cinta,155.00,40.00,x x,63.00,x x,48.00,? ?,- -,? ?
11D1805: Lamego,622.00,173.00,x x,345.00,x x,66.00,10.00,- -,28.00
11D1704: Mes�o Frio,223.00,90.00,x x,79.00,x x,44.00,3.00,- -,7.00
11D1807: Moimenta da Beira,240.00,70.00,x x,108.00,x x,46.00,4.00,- -,12.00
11D1707: Mur�a,200.00,63.00,x x,72.00,x x,60.00,? ?,- -,? ?
11D1812: Penedono,82.00,22.00,x x,31.00,x x,24.00,? ?,- -,? ?
11D1708: Peso da Régua,658.00,238.00,x x,338.00,x x,50.00,13.00,- -,19.00
11D1710: Sabrosa,133.00,51.00,x x,46.00,x x,30.00,? ?,- -,? ?
11D1711: Santa Marta de Penagui�o,122.00,63.00,x x,42.00,x x,11.00,3.00,- -,3.00
11D1815: São João da Pesqueira,124.00,47.00,x x,52.00,x x,15.00,- -,- -,10.00
11D1818: Sernancelhe,105.00,44.00,x x,38.00,x x,18.00,? ?,- -,? ?
11D1819: Tabua�o,90.00,43.00,x x,31.00,x x,11.00,- -,- -,5.00
11D1820: Tarouca,168.00,53.00,x x,69.00,x x,32.00,4.00,- -,10.00
11D0409: Torre de Moncorvo,427.00,118.00,x x,139.00,x x,150.00,4.00,- -,16.00
11D0914: Vila Nova de Foz Côa,168.00,53.00,x x,66.00,x x,36.00,5.00,- -,8.00
11D1714: Vila Real,1407.00,435.00,x x,607.00,x x,256.00,13.00,- -,96.00
11E: Terras de Trás-os-Montes,4101.00,1198.00,x x,1888.00,x x,717.00,47.00,- -,251.00
11E0401: Alfandega da Fé,239.00,60.00,x x,108.00,x x,62.00,? ?,- -,? ?
11E0402: Bragança,1293.00,354.00,x x,646.00,x x,223.00,16.00,- -,54.00
11E0405: Macedo de Cavaleiros,519.00,150.00,x x,258.00,x x,55.00,9.00,- -,47.00
11E0406: Miranda do Douro,284.00,97.00,x x,103.00,x x,64.00,8.00,- -,12.00
11E0407: Mirandela,825.00,282.00,x x,353.00,x x,121.00,4.00,- -,65.00
11E0408: Mogadouro,236.00,58.00,x x,116.00,x x,46.00,3.00,- -,13.00
11E0410: Vila Flor,240.00,57.00,x x,111.00,x x,37.00,? ?,- -,? ?
11E0411: Vimioso,196.00,61.00,x x,86.00,x x,43.00,? ?,- -,? ?
11E0412: Vinhais,269.00,79.00,x x,107.00,x x,66.00,3.00,- -,14.00
16: Centro,75958.00,17648.00,24.00,42948.00,x x,8910.00,1064.00,- -,5387.00
